title,url,description,keywords,duration,view_count,datePublished,genre,,,,,,
Narendra modi latest speech Threat To Pakistan,https://www.youtube.com/embed/iliOGqpJo2Y,"scandals,pakistan politics scandal,talent show,pakistan politics fight,kal tak javed chaudhry,khara sach,news beat with paras khursheed,tonight with jasmeen ...","scandals, pakistan politics scandal, talent show, pakistan politics fight, kal tak javed chaudhry, khara sach, news beat with paras khursheed, tonight with j...",PT2M0S,7923,5/22/14,Entertainment,,,,,,
Pakistan Media comparing Narendra Modi and Nawaz Sharif Foreign Policy,https://www.youtube.com/embed/UR2GIMjTBpA,Pakistan Media comparing Narendra Modi and Nawaz Sharif Foreign Policy Watch more â€œPakistan Media on Indiaâ€ù videos here: https://www.youtube.com/playlist?lis...,"Mian Nawaz Sharif (Politician), Narendra Modi (Politician), Pakistan (Country), Politics (TV Genre), India, nikhil gupta, politicsdailyy, https://www.youtube...",PT3M39S,17421,12/10/14,People & Blogs,,,,,,
I will write in Gujarati: Narendra Modi tells Mark Zuckerberg at Facebook Wall,https://www.youtube.com/embed/lIi-8cG9vJ4,I will write in Gujarati: Narendra Modi tells Mark Zuckerberg before writing message on Facebook wall. Zuckerberg reacts: yes please. The message written in ...,"Narendra Modi, Mark Zuckerberg, Facebook, Headquarters, California, San Jose, America",PT1M53S,32216,9/27/15,News & Politics,,,,,,
Narendra Modi Life before GUJARAT CM Rare & Never Seen Video,https://www.youtube.com/embed/Va1ZOjayexg,Rajeev Shukla taking Narendra Modi's Interview.,"India, Narendra Modi, Gujarat, BJP",PT4M32S,13629,6/1/13,News & Politics,,,,,,
Narendra Modi's Exclusive Interview With Cnbc awaaz,https://www.youtube.com/embed/NlEQd8B15jg,"Narendra Modi BJP's Prime Ministerial candidate talks exclusively with Network 18 , Cnbc awaaz Editor Sanjay Pugalia.","CNBC AWAAZ, NARENDRA MODI, MODI INTV, LATEST MODI INTV, SANJAY PUGALIA, INDIA, BJP, CONGRESS, RAHUL GANDHI, MANMOHAN SINGH, UPA, NDA, CNBC TV 18, NETWORK 18,...",PT54M37S,51165,4/18/14,News & Politics,,,,,,
Watch How Narendra Modi Destroyed Rahul Kanwal a Pseudo-Secular Journalist Part 1/5,https://www.youtube.com/embed/fiirUWRJ5Is,Youtube: http://www.youtube.com/user/NarendraModiArmy http://www.youtube.com/user/GujaratDevelopment Twitter: http://twitter.com/ArmyNaMo http://twitter.com/...,"Narendra, Modi, Gujarat, development, Rahul, Gandhi, Sonia, corruption, India, Tomorrow, BJP, NDA, congress, riot, 2002, UPA, tribute, hair, lady, gaga, jame...",PT1M5S,14534,2/6/13,News & Politics,,,,,,
NARENDRA MODI on Islamic Terrorism on Big Fight after 9/11 attacks.,https://www.youtube.com/embed/fas-jaaZWWM,"Archival video of The Big Fight on Star News after the attacks on September 11, 2001, with the then BJP General Secretary... Narendra Modi, Late Dr. Rafiq Za...","narendra modi, modi, narendra, modiji, bjp, rajdeep, ndtv, start plus, sardesai, rajdeep sardesai, hindutva, islamic, muslim, terrorism, muslims, india, 2011...",PT27M33S,124341,9/22/13,News & Politics,,,,,,
"Narendra Modi defends Indian Muslims, says their patriotism cannot be questioned-Part 2",https://www.youtube.com/embed/O9j_tIB_Ai4,"In his first ever interview since assuming office, Prime Minister Narendra Modi has defended Indian Muslims and said their patriotism cannot be questioned.","Zee News, BJP, Religion, Secualrism, Narendra Modi, Indian Muslims, Yogi Adityanath, Ayman al-Zawahiri, al Qaeda, Patriotism",PT27M9S,56114,9/19/14,News & Politics,,,,,,
Mr. Balasaheb Thackeray rare interview by Karan Thapar,https://www.youtube.com/embed/OszkO_cLAuE, ,"Raj Thackeray (Cartoonist), Maharashtra (Indian State), Pune (City/Town/Village), Marathi People (Ethnicity), Mumbai (City/Town/Village), Bal Thackeray (Poli...",PT25M18S,366239,2/17/13,People & Blogs,,,,,,
"Narendra Modi breaks down, cries when Mark Zuckberg Interviews Him",https://www.youtube.com/embed/zw2S2VnR_9s,Narendra Modi tears up when Mark Zuckeberg interviews him at Facebook Headquarters.,"Mark Zuckeberg i, Narendra Modi (Politician), Indian Prime Minister, Facebook, Facebook Headquarters",PT6M32S,189,9/27/15,Entertainment,,,,,,
Live: Narendra Modi's Speech in Silicon Valley for Digital India,https://www.youtube.com/embed/v3xYSM494M0,"â€œCalifornia is one of the last places in the world to see the sun set. But, it is here that new ideas see the first light of the day,â€ù Prime Minister Narendr...","narendra modi, live, news, speech, interview, PM, india, digital india, silicon valley, modi silicon valley, modi pm, satya andella, sundar pichai, modi, pm ...",PT73M3S,29539,9/27/15,News & Politics,,,,,,
Narendra Modi at SILICON VALLEY - FULL SPEECH | Digital India Summit | Modi In USA,https://www.youtube.com/embed/V4PDFQZLeBA,"Please watch: ""Caste & Beef Politics Behind BJP's Big Bihar Loss"" â_¨ https://www.youtube.com/watch?v=CXSCrAyGGk0 -~-~~-~~~-~~-~- Prime Minister Narendra Modi ...","Silicon Valley, PM Modi in US, PM Modi Meets Satya Nadella, Times now Debate, Times now Arnab Goswami, Times Now Latest News, india, Times now headlines, deb...",PT22M21S,123806,9/27/15,News & Politics,,,,,,
Facebook's Mark Zuckerberg Q&A with the media in India,https://www.youtube.com/embed/Em2YmdSnoh4,"Facebook CEO and founder Mark Zuckerberg, who is in India on a two-day visit, talks about his plans for India, the hitches and his meeting with Prime Ministe...","Facebook CEO, Mark Zuckerberg, Mark Zuckerberg's India Visit, Narendra Modi, Digital India Initiative, NDTV 24x7",PT32M48S,63803,10/9/14,Science & Technology,,,,,,
Salman Khan meets PM Narendra Modi in Delhi,https://www.youtube.com/embed/M5kSbn1b_-A,"Bollywood actor Salman Khan met Prime Minister Narendra Modi at the latter's official residence at 7, Race Course Road (RCR) in Delhi on Thursday evening.","Salman Khan, Narendra Modi, Salman meets Modi, PM Modi, Bollywood actor, Zee News",PT0M59S,50746,11/6/14,News & Politics,,,,,,
10amazing Things To Know About Narendra Modi.,https://www.youtube.com/embed/5FON5858Oqw,"The best things about Mr. Modi We bet you did not know. what is the reason of he will be a successful person in the world. narendra modi latest speech 2015, ...",,PT2M43S,729,8/4/15,Entertainment,,,,,,
Australia visit: PM Modi delivers full speech in English,https://www.youtube.com/embed/97xyM7BVcos,"Brisbane Mayor on Sunday hosted a cultural programme to honour Prime Minister Narendra Modi, who is on a five-day visit to Australia. Watch Modi deliver his ...","top news news in hindi hindi news today's news, delhi news, best news, aajtak, aajtak news, latest news, latest hindi news, Narendra Modi (Politician), se, p...",PT16M31S,161829,11/16/14,News & Politics,,,,,,
Never Ever Ever Again Angry Arnab Goswami!!!,https://www.youtube.com/embed/8tF9YSXe2vo,The Muslim Mirror: Never Ever Angry Arnab Goswami!!!,"Arnab Goswami (Author), Akbaruddin Owaisi (Politician), Asaduddin Owaisi (Politician), Hyderabad (City/Town/Village), Mumbai (City/Town/Village), Arvind Kejr...",PT5M0S,831142,1/3/14,News & Politics,,,,,,
Hassan Nisar Latest Interview On Narendra Modi And Nawaz Sharif USA Visit 29th September 2015,https://www.youtube.com/embed/vj7eCA_lrMQ,Hassan Nisar Latest Interview On Narendra Modi And Nawaz Sharif USA Visit 29 September 2015 Narendra modi is in usa and meeting different heads and ceo of bi...,"modi in usa, narendra modi in usa, narendra modi in usa 29 september 2015, narendra modi in usa 29th september 2015, modi speech in uno, modi speech in uno g...",PT36M59S,195534,9/29/15,People & Blogs,,,,,,
Narendra Modi censored DD News interview on Priyanka,https://www.youtube.com/embed/Wgas3sx-RWQ,"Narendra Modi, Narendra Modi on Priyanka Gandhi, Narendra Modi Vs Priyanka Gandhi, Narendra Modi interview, Narendra Modi daughter comment","Narendra Modi (Politician), DD News, DD interview, Narendra Modi on Priyanka, Priyanka Gandhi Vadra, Rahul Gandhi, Priyanka Gandhi, India elections, news, vi...",PT27M25S,2273,5/3/14,Comedy,,,,,,
PM Narendra Modi's wife Jashodaben EXCLUSIVE interview,https://www.youtube.com/embed/4v64Bx0rOUE,Watch out Prime Minister Narendra Modi's wife Jashodaben exclusive interview on 100 days completion on NDA government.,"Narendra Modi, PM Modi's wife, Jashodaben, NDA government, 100 days completioN, exclusive interview, gujarat, newsfirst, news first",PT10M58S,16138,8/31/14,Entertainment,,,,,,
Narender Modi In Dubai Cricket Stadium 17th August 2015 Complete Speech,https://www.youtube.com/embed/J6Jkz61KUI8,"important... 'samajhne wale samajh jayenge', 'akalmand ko ishaara kaafi hai' (the message will be clear to those it's intended for),"" Prime Minister Modi sai...","narendra modi, narendra modi speech, narendra modi interview, narendra modi latest speech 2015, narendra modi in Dubai, narendra modi in Dubai Cricket Stadiu...",PT12M18S,927,8/17/15,People & Blogs,,,,,,
Narendra Modi at Alexandra Palace - 31 October 1999,https://www.youtube.com/embed/LOLMCVEqFeU,"Narendra Modi was guest speaker at Millennium Gathering of Lohana Community at Alexandra Palace, London. My filming crew and I had the opportunity to film th...","Modi, Lohana",PT5M41S,2439,5/16/14,Autos & Vehicles,,,,,,
Narendra Modi America visit 1998 interview Asia TV,https://www.youtube.com/embed/1YFoKBYlKyA,"A very rare video of the interview which Narendra Modi gave to Asia TV back in 1998 when he visited USA as the General Secretary, All India BJP. This video e...","Narendra Modi (Politician), Politics (TV Genre), Narendra Modi in USA, Narendra Modi in America, Narendra Modi interview USA, Narendra modi interview America...",PT26M58S,659,10/20/14,People & Blogs,,,,,,
Narendra modi In Dubai Cricket Stadium (17th August 2015),https://www.youtube.com/embed/QxaodUbsSUQ,Narender Modi In Dubai Cricket Stadium (17th August 2015) given warning to pakistan and daud narendra modi narendra modi speech narendra modi speech in lok s...,"narendra modi, narendra modi speech, narendra modi digital india, narendra modi interview, narendra modi speech in lok sabha today, narendra modi in aap ki a...",PT1M37S,848,8/17/15,People & Blogs,,,,,,
Narendra Modi On How One Can Down Pulses Rate ABP,https://www.youtube.com/embed/fupqTFS4kyg,In An Interview With ABP News Narendra Modi Targeted UPA Govt. On High Pulses Rate. Then It Was 55 Now It Is Around 200. Now..?? Don't Want This Kind Of Acch...,"Narendra Modi, Pulses Rate, ABP News Live, ABP, AAJTAK, Modi, Bihar Election, Sahityakar, Dadri",PT2M14S,720,10/19/15,People & Blogs,,,,,,
PM Shri Narendra Modi statement in Lok Sabha on Masarat Alam's release: 09.03.2015,https://www.youtube.com/embed/FY7g0OFUveA,"Give missed call on 18002662020 to become a BJP member. ""à_¸à_¶à_•à¥çà__ à__à__à_œà_ªà__ à_¸à_¶à_•à¥çà__ à__à__à_°à__"" à_¸à__à_¥ à_†à_èà_‚ - à__à¥‡à_¶ à_¬à_¨à__à_èà_‚ | à__à__à_œà_ªà__ à_•à¥‡ à_¸à__à_¸à¥çà_¯ à_¬à_¨à¥‡à_‚, à_®à¥‹à_¬à__à_‡à__ à_¸à¥‡ à_¨à_¿à_¶à¥Åà__à¥çà_• à_¡à__à_¯à__ à_•à_°à¥‡à_‚ 18002...","Narendra Modi speech, BJP, Bharatiya Janata Party, BJP videos, Yuva TV, Yuva, Narendra Modi (Politician), Masarat Alam, Kashmiri Separist, India, J&K, Lok Sa...",PT6M1S,32268,3/9/15,News & Politics,,,,,,
Narendra Modi in Aap ki Adalat - India Tv,https://www.youtube.com/embed/CwLAUf5UZks,"narendra modi,narendra modi in aap ki adalat full episode,narendra modi in aap ki adalat full episode 2014,narendra modi latest speech 2014,narendra modi int...","Narendra Modi (Politician), Adaalat (TV Program), Narendra Modi on India Tv, Narendra Modi in Aap ki Adalat, narendra modi in aap ki adalat full episode, nar...",PT129M44S,1179,4/13/14,People & Blogs,,,,,,
What Narendra Modi Says for his country and what he want in Nepal.,https://www.youtube.com/embed/9OOph926f40,What Narendra Modi Says for his country and what he want in Nepal. Narendra Modi interview which was given 15 years back.,"Narendra Modi (Politician), Politics (TV Genre), Country (Musical Genre), Politician (Profession), India",PT6M45S,368,9/24/15,Sports,,,,,,
Narendra Modi's Funny English,https://www.youtube.com/embed/6ih-68e67lo,"Just when Mr. Narendra Modi couldn't work on his facts, he was granted another task! And mind you, this task was mammoth in size as compared to the fact memo...","Feku, Modi, Fake, Lies, Exposed, 2002, riots, Godhra, Gujarat Development, Development, Model, Narendra Modi (Politician), narendra modi funny, narendra modi...",PT1M8S,9867,4/28/14,People & Blogs,,,,,,
ABP Majha Vishesh : Narendra Modi & Rahul Gandhi,https://www.youtube.com/embed/SylvdTQDOOQ, ,,PT18M16S,3149,4/22/14,News & Politics,,,,,,
Modi interview to Tamil Media 19 April 2014 Part 1,https://www.youtube.com/embed/CloXdoZF6mU,"Modi interview to Tamil Media 19 April 2014 Part 1 Related Information Narendra Damodardas Modi (About this sound pronunciation (helpÂ·info), born 17 Septembe...","Narendra Modi, Modi, Interview",PT15M1S,1449,5/7/14,News & Politics,,,,,,
Shri Narendra Modi's exclusive interview with Times Now,https://www.youtube.com/embed/m3TTX2Xpsqc,Shri Narendra Modi's exclusive interview with Times Now,"Narendra Modi, Gujarat, India, Chief Minister, CM, Namo, Gujarat Government, PM, PM Candidate, Development, Vikas, Brand India, Prime Minster, BJP, NDA, NaMo...",PT75M40S,13520,5/10/14,News & Politics,,,,,,
Narendra Modi Fareed Zakaria Interview,https://www.youtube.com/embed/L1gkb-5cVDE,Narendra Modi interview by fareed zakaria,"narendra modi interview with fareed zakaria, Narendra Modi (Politician), Fareed Zakaria (Author), Politics (TV Genre), India, modi, narendra modi interview",PT2M20S,430,9/20/14,People & Blogs,,,,,,
Narendra Modi fights back - Hindustan Times (full),https://www.youtube.com/embed/H-egGR6LwNA,Narendra Modi on Gujarat Development and congress false propaganda in Hindustan times function orgnanized by Rajdeep Sardesai.,"Narendra, Modi, on, Gujarat, Development, and, congress, false, propaganda",PT49M55S,116152,9/24/11,News & Politics,,,,,,
English Of Narendra Modi hahaha.,https://www.youtube.com/embed/lyfV4C0yduA,hahaha.. good try but not effected.... keep it up. Narendra Modi was trying to speak in English but it not fit and match to him.,"English Language (Human Language), weak english, BJP Leader, English of Narendrra modi, PM Candidiate, lol",PT2M11S,151970,7/17/13,News & Politics,,,,,,
Rahul Gandhi Vs Narendra Modi,https://www.youtube.com/embed/UUjN45sA76E,Watch video and see the difference between Rahul Gandhi And Narendra Modi For More Video Plz Subscribe :- https://www.youtube.com/justurentertainment No Copy...,"Narendra Modi (Politician), Rahul Gandhi (Politician), rahul gandhi dumb, Arnab Goswami (Author)",PT4M8S,6085,1/29/14,News & Politics,,,,,,
Indian PM Narendra Modi arrives in UK - BBC News,https://www.youtube.com/embed/-fO1zSYQOTg,"India's Prime Minister Narendra Modi has arrived in the UK for a three-day visit as a guest of his British counterpart, David Cameron. The first day of the v...","narendra modi, modi, india, bbc, news, bbc news, david cameron, Prime Minister Of India (Government Office Or Title), lifestyle, youtube, video, journalism, ...",PT2M10S,19576,11/12/15,News & Politics,,,,,,
Great Poster of Narendra Modi,https://www.youtube.com/embed/0CdLpS6Q8Oo,tags- narendra modi narendra modi speech narendra modi interview narendra modi wife modi aap ki adalat narendra modi shapath narendra modi srcc arnab goswami...,"youtube, Narendra Modi (Politician), Poster (Collection Category)",PT6M48S,1350,6/18/14,Entertainment,,,,,,
CM Narendra Modi's veiews on compulsory voting with CNBC TV18,https://www.youtube.com/embed/Tckvpo0ZLX4,"Chief Minister Narendra Modi's interview with CNBC TV18 on mandatory voting in Gujarat, Gujarat Government passed a landmark bill for mandatory voting in Guj...","Narendra, Modi, Gujarat, Compulsory, Voting, local, self, Government, bodies, Election, municipality, opposition, italy, Sonia, gandhi, Zee, News",PT8M27S,2881,12/24/09,People & Blogs,,,,,,
Narendra Modi's 'Operation Dawood',https://www.youtube.com/embed/VBDDd04gjbM,"Dawood Ibrahim remains India's most wanted criminal. His is not a name that the law keeping forces in India are unlikely to forget. Now, Narendra Modi has an...","top news news in hindi hindi news today's news, delhi news, best news, aajtak, aajtak news, latest news, latest hindi news, Dawood Ibrahim, Narendra Modi, Mo...",PT10M57S,244092,4/25/14,News & Politics,,,,,,
Narendra Modi Breaks Silence On 2002 Gujarat Riots,https://www.youtube.com/embed/VDNNzq8po9w,BJP's Prime Ministerial candidate Narendra Modi broke his silence on the 2002 riots saying that over the years he has answered every possible question on the...,"narendra modi, rahul gandhi, upa, UPA, arvind kejriwal, kejru, yo yo kejru singh, aap, election 2014, lok sabha elections, news, india elections 2014, gujara...",PT4M37S,12910,4/17/14,News & Politics,,,,,,
Narendra Modi Ji Interview on Exclusive TV 18 Network (CNN IBN & IBN7) on 18 April 2014,https://www.youtube.com/embed/wvaL4gycvf8, ,,PT51M28S,24064,4/18/14,People & Blogs,,,,,,
"PM Narendra Modi Expresses Disappointment over Dadri Lynching, Ghulam Ali Incident - India TV",https://www.youtube.com/embed/a_hApsguvjU,"Prime Minister Narendra Modi, in an interview to the Ananda Bazar Patrika newspaper expresses disappointment over Dadri lynching and Pakistan gazal singer Gh...","PM Modi, Narendra Modi, Dadri, Dadri lynching, Gulam Ali, Pakistan gazal singer, Mumbai, PM Modi interview, ananda bazar patrika, hindi news, india, India TV...",PT1M36S,1379,10/13/15,News & Politics,,,,,,
Nitish Kumar Interview With Arnab Goswami | Bihar Elections 2015 | Full Interview,https://www.youtube.com/embed/UiN7YLStVlA,"Please watch: ""Caste & Beef Politics Behind BJP's Big Bihar Loss"" â_¨ https://www.youtube.com/watch?v=CXSCrAyGGk0 -~-~~-~~~-~~-~- JD(U) leader & Bihar Chief Mi...","times now debate, bihar polls 2015, bihar election survey, azam khan, bihar election 2015, nitish kumar interview, times now, modi on dadri murder case, the ...",PT45M35S,117037,10/11/15,News & Politics,,,,,,
Exclusive interview promo : Narendra Modi in Gujarati on Sandesh News,https://www.youtube.com/embed/6Dcj7LYJIJU,àª_àª_àªœàªªàª¨àª_ àªµàª¡àª_àªªà«çàª°àª§àª_àª¨àªªàª_àª¨àª_ àª‰àª®à«‡àª_àªµàª_àª° àª¨àª°à«‡àª¨à«çàª_à«çàª° àª®à«‹àª_à«€àªè àª¸à«Œ àªªà«çàª°àª¥àª® àª¸àª‚àª_à«‡àª¶ àª¨à«çàª¯à«‚àªùàª¨à«‡ àª†àªªà«çàª¯à«‹ àª—à«Åàªœàª°àª_àª_à«€àª®àª_àª‚ àªˆàª¨à«çàªŸàª°àªµà«çàª¯à«‚. àª¨àª°à«‡àª¨à«çàª_à«çàª° àª®à«‹àª_à«€àªè àª—à«Åàªœàª°àª_àª_à«€àª®àª_àª‚ àªµàª_àª_ àª•àª°à«€àª¨à«‡ àªœàª£àª_àªµà«€ àª—à«Åàªœàª°àª_àª_ àª…àª¨à«‡ àª_à«‡àª¶ àªµàª¿àª¶à«‡àª¨...,"Sandesh Samachar, Sandeshnews, Latest Gujarat News, BJP's PM candidate Narendra Modi, Exclusive interview, promo, News, Sandesh News Channel, Narendra Modi, ...",PT1M51S,1474,4/25/14,News & Politics,,,,,,
Narendra Modi breaks silence on Dawood Ibrahim-Focus News,https://www.youtube.com/embed/ZKKZL2gzJGE,Narendra Modi broke silence on Dawood Ibrahim in an interview.,"Narendra Modi (Politician), Dawood Ibrahim (Convicted Criminal), India, sandesh news, Focus news, controversy, indian politics, News, PAKISTAN, SUSHIL KUMAR ...",PT2M17S,10146,5/1/14,People & Blogs,,,,,,
Bahubali | Prabhas meets PM Narendra Modi (26-07-2015),https://www.youtube.com/embed/G7-G5cibxq4,"For more latest hot and happening news subscribe @ https://www.youtube.com/user/ABNtelugutv?sub_confirmation=1 Follow us @ https://facebook.com/abntelugutv, ...","abn, abn news, abn telugu news, abn live, abn andhrajyothy, abn andhrajyothy news, telugu news channels, live news channels, abn live news, abn news online, ...",PT0M54S,17672,7/26/15,News & Politics,,,,,,
"Narendra Modi's Oath Taking Ceremony | Salman Khan, Vivek Oberoi, Hema Malini, Salim Khan",https://www.youtube.com/embed/qfuW_l3xw0c,Narendra Modi's swearing-in ceremony on May 26 turned out to be quite a starry affair with a generous smattering of famous faces from Bollywood like Salman K...,"Narendra Modi's Oath Taking Ceremony | Salman Khan, Vivek Oberoi, Hema Malini, Salim Khan, Narendra Modi, Salman Khan, Dharmendra, Anupam Kher, Kirron Kher, ...",PT1M11S,82058,5/27/14,Entertainment,,,,,,
"Narendra Modi cries, bows down before Parliament in his first speech",https://www.youtube.com/embed/OfuecICbSgw,"New Delhi: Shortly before emerging from the presidential palace with a letter appointing him India's next prime minister, Narendra Modi today fought back tea...","narendra modi, modi, live, news, speech, bjp, PM, Candidate, cries, parliament, first speech, bows down, tears",PT32M43S,256638,5/20/14,News & Politics,,,,,,
Bole Modi With News 24 - 1/2,https://www.youtube.com/embed/ASWhlDITqxw,CM Shri Narendra Modi's Interview with News 24 at Gandhinagar october 2008,"Narendra, Modi, Interview, Vote, bank, News, 24, October, gandhinagar, Nanavati, Commission",PT10M3S,8985,10/15/08,People & Blogs,,,,,,
TV9 - Ravi Prakash's exclusive interview with Narendra Modi part 1,https://www.youtube.com/embed/9rsi8q4aoVQ, ,,PT7M3S,13385,4/15/14,News & Politics,,,,,,
Seedhi Baat with Narendra Modi at Aaj Tak,https://www.youtube.com/embed/G36BMqe3GOc,Seedhi Baat with Narendra Modi at Aaj Tak. Narendra Modi talks about Gujarat Development and congress false propaganda,"Seedhi, Baat, with, Narendra, Modi, at, Aaj, Tak., talks, about, Gujarat, Development, and, congress, false, propaganda",PT16M38S,310348,9/24/11,News & Politics,,,,,,
little narendra modi,https://www.youtube.com/embed/bV5QAL76K3I,"Off the record talk between a fake journo and a fake leader. Election Commission announced the poll dates for the 16th Lok Sabha elections, which will begin ...",,PT1M25S,1323,3/21/14,News & Politics,,,,,,
"PM Modi with Sundar Pichai at Google (Alphabet) HQ in San Jose, California",https://www.youtube.com/embed/FxISLlCnxK0,"Prime Minister Narendra Modi with Sundar Pichai at Google (Alphabet) HQ in San Jose, California","Narendra Modi, India, Governance, PM, Development, Vikas, Brand India, Prime Minster, BJP, NDA, NaMo, Modi, Vision of India, India first, New Delhi, 7RCR, Pr...",PT17M1S,142049,9/27/15,News & Politics,,,,,,
Why is India PM Modi always flying? BBC News,https://www.youtube.com/embed/dCmzTUkcPCU,"Ahead of Narendra Modi's visit to Britain, BBC Business editor Kamal Ahmed explores the Indian Prime Minister's jet-set lifestyle - including why he intends ...","india, india pm, narendra modi, narendra, modi, bbc, news, bbc news, youtube, video, travel, flying, lifestyle, culture, journalism, pm modi",PT2M32S,30555,11/10/15,News & Politics,,,,,,
The Last Word - The Last Word: Narendra Modi's fast and his image,https://www.youtube.com/embed/g1qhwT_iDNQ,Karan Thapar discusses whether Gujarat Chief Minister Narendra Modi's fast will change the way India perceives him. Subscribe https://www.youtube.com/user/ib...,"The Last Word, Karan Thapar, Narendra Modi, Fast, Gujarat",PT20M12S,63070,9/16/11,Shows,,,,,,
Exclusive : Narendra Modi's wife Jashodaben in conversation with Tv9 Gujarati,https://www.youtube.com/embed/0sFj0G2GgG0,PM designate Narendra Modi's wife Jashodaben shared her feelings with Tv9 Gujarati. Q 1) How did you feel when you came to know that your Husband Narendra Mo...,"Gujarati, India, Gujarat News, Gujarati News, News in Gujarat, News in Gujarati, TV9 Gujarat, Gujarat, Tv9 Gujarat live, Tv9 Gujarat live streaming, Tv9 Guja...",PT6M39S,149952,5/23/14,News & Politics,,,,,,
A Must Watch Moment Narendra Modi's Amazing Sixer on Punya Prasoon Vajpayee's Googly,https://www.youtube.com/embed/Qs_qZ2FeYXY,Narendra Modi is Best at Spontaneous answers Watch it here !,"India, Narendra Modi, Gujarat, BJP, Atal Bihari Vajpayee (Politician)",PT2M45S,172303,7/18/13,News & Politics,,,,,,
Ratan Tata highly praises Narendra Modi - Times Now (Nano NaMo Sanand),https://www.youtube.com/embed/oKjkDynHNps,"Ratan Tata's high praises for Narendra Modi in an interview to Times Now post Nano relocation to Sanand, Gujarat.","Nano, Namo, Ratan, Tata, Narendra, Modi, Sanand",PT2M22S,151754,10/7/08,News & Politics,,,,,,
Comedy King Kapil Sharma in Aap Ki Adalat (Full Episode),https://www.youtube.com/embed/jer_oZQELno,Watch Comedy king Kapil Sharma in Aap Ki Adalat only on India TV. He was grilled by India TVâ€™s Editor-in-chief Rajat Sharma in Aap Ki Adalat programme. He ta...,"Kapil Sharma, Kapil Sharma in aap ki adalat, kapil sharma comedy nights 2015, Kapil Sharma Movie, Comedy Nights With Kapil, rajat sharma in kapil show, kapil...",PT75M26S,3107255,9/20/15,Shows,,,,,,
Narendra Modi Times Now Interview with Arnab Goswami,https://www.youtube.com/embed/LV2dZgMrlk0,Narendra Modi Interview To Arnab Goswami of Times Now. Narendra modi times now interview,"Narendra Modi (Politician), Times Now (Employer), Arnab Goswami (Author), India, Interview",PT0M53S,293,5/8/14,News & Politics,,,,,,
Newslaundry Interviews Shahid Siddiqui,https://www.youtube.com/embed/6IpaknI_jYg,"Shahid Siddiqui opens up to Abhinandan Sekhri on his Narendra Modi interview, the English media being jealous of him, balancing journalism and politics, many...","Shahid, Siddiqui",PT38M11S,23093,8/14/12,News & Politics,,,,,,
Tamil Hero Dhanush Speaks About Pawan Kalyan -Tollymirchi,https://www.youtube.com/embed/Xx0ykA04r60,"Like us on FB: https://www.facebook.com/tollymirchi Follow us on: https://twitter.com/tollymirchi tolly,Tollymirchi,News live updates,live update,Telugu news...","Tamil Hero Dhanush Speaks About Pawan Kalyan -Tollymirchi, Pawan Kalyan (Organization Founder), Tamil Language (Human Language), Dhanush (Composer), Tamil Ci...",PT2M33S,1230,11/23/15,News & Politics,,,,,,
Prime Minister of India Modi's clone burned in Nepal | Daily Exclusive News ( Media Np TV),https://www.youtube.com/embed/RCeROVei4WY,"Medianp Present's, The Protest Against The Indian Prime Minister "" Narendra Modi"" . Watch The Full Video To Know The Story Behind The Sensation. For more new...","Media Np, MediaNP, MediaNpTV, Daily Exclusive News, Online News, Cabinet Of India (Governmental Body), Narendra Modi (Politician), News Media (TV Genre), Pro...",PT2M26S,48620,9/26/15,News & Politics,,,,,,
"Narendra Modi in Aap ki Adalat with Rajat Sharma on INDIATV Nov 13, 2011",https://www.youtube.com/embed/Z32cgqNqBRM, ,,PT17M47S,4871,8/9/13,Comedy,,,,,,
Exclusive interview with Narendra Modi in India News,https://www.youtube.com/embed/-fCtjNOep9c,Watch Narendra Modi as never seen before his first interview in the run up to 2014 poll. BJP's prime ministerial candidate Narendra Modi arrived in Gandhi po...,"India News, BJP, Narendra Modi, Amethi, campaignVideo, News, News update, breaking News",PT41M18S,49386,5/5/14,News & Politics,,,,,,
ABP Group Exclusive: PM speaks over Dadri Lynching and Sudheendra Kulkarni,https://www.youtube.com/embed/lFmaBNjGGHY,"Prime Minister Narendra Modi has spoken elaborately for the first time on the recent mob violence against a Muslim man in Dadri, Shiv Sena attacking Sudheend...","ABP News Exclusive, Sudheendra Kulkarni, Dadri Lynching, PM Modi, ABP News (TV Program Creator), ABP Group (Publisher), Interview",PT3M56S,3322,10/13/15,People & Blogs,,,,,,
PM Narendra Modi's first exclusive world interview,https://www.youtube.com/embed/EVagp6VxVmM,Read more on http://www.firstpost.com,"Latest News, Breaking News, World News, Politics News, Market News, News Live, Latest News India, Live News, News Today, News 24, News Online, Firstpost",PT19M37S,7297,9/21/14,News & Politics,,,,,,
"Did 'absolutely right thing' in 2002 riot, Narendra Modi says",https://www.youtube.com/embed/R9uWk7tUsFA,"Gujarat chief minister Narendra Modi has said that he had done ""absolutely right thing"" in 2002 when the state was hit by riots and that an SIT set up by the...","Narendra Modi, Reuters, Gujarat, 2002 riot",PT1M40S,3905,7/12/13,News & Politics,,,,,,
